,GPU
2774,Integrated
2775,Iris Xe
2776,RTX 3050 Ti
2777,MX330
2778,Iris Xe
2779,Radeon
2780,Iris Xe
2781,RTX 3050
2782,UHD
2783,Iris Xe
2784,GTX 1650
2785,MX450
2786,Iris Xe
2787,MX330
2788,UHD
2789,MX350
2790,UHD
2791,Mali-G72
2792,UHD
2793,MX250
2794,UHD 620
2795,UHD 620
2796,"Geforce MX250 GPU, 2 GB"
2797,UHD 620
2798,MX110
2799,UHD
2800,"Geforce MX110 GPU, 2 GB"
2801,RTX 2050
2802,GTX 1050Ti
2803,RTX 4050
2804,UHD
2805,Arc
2806,Integrated
2807,RTX 3050
2808,RTX 3050
2809,RTX 3050
2810,Iris Xe
2811,"T600 GPU, 4 GB"
2812,RTX 2050
2813,Arc
2814,UHD 600
2815,RTX 4050
2816,RTX 3050
2817,RTX 4050
2818,RTX 3050
2819,Iris Xe
2820,UHD
2821,Radeon 780M
2822,RTX 4050
2823,Arc
2824,Arc
2825,Integrated
2826,Radeon
2827,Iris Xe
2828,UHD 620
2829,UHD
2830,GTX 1650
2831,RTX 2050
2832,Iris Xe
2833,Radeon Graphics
2834,Radeon Vega 8
2835,Radeon
2836,UHD
2837,RTX 3060
2838,Radeon
2839,Iris Xe
2840,UHD 600
2841,RTX 3050
2842,Iris Xe
2843,RTX 3050
2844,RTX 3050
2845,Iris Xe
2846,Integrated
2847,RTX 3050
2848,Integrated
2849,Iris Xe
2850,MX570
2851,Radeon
2852,RTX 3050
2853,HD 500
2854,Iris Xe
2855,UHD
2856,"UHD GPU, 128 MB"
2857,UHD
2858,GTX 1660 Ti
2859,Integrated
2860,Iris Xe
2861,Radeon
2862,Iris Xe
2863,Integrated
2864,Radeon Vega 8
2865,Radeon R4
2866,UHD
2867,UHD
2868,UHD
2869,HD 400
2870,"Geforce MX110 GPU, 2 GB"
2871,UHD 620
2872,HD 620
2873,GTX 1650
2874,Radeon R5
2875,GTX 1660 Ti
2876,HD 520
2877,HD Graphics
2878,Iris X
2879,MX230
2880,Radeon
2881,MX130
2882,"Geforce MX130 GPU, 2 GB"
2883,"Geforce MX150 GPU, 2 GB"
2884,Radeon Vega 3
2885,Radeon R3
2886,RTX 3050
2887,UHD
2888,UHD 620
2889,Radeon
2890,UHD 620
2891,"Geforce 940MX GPU, 2 GB"
2892,UHD 620
2893,Radeon
2894,"Geforce GTX 1050 Ti GPU, 4 GB"
2895,UHD
2896,GTX 940MX
2897,Radeon R7
2898,HD 500
2899,UHD
2900,UHD 620
2901,RTX 3050 Ti
2902,HD 500
2903,GTX 1650
2904,Radeon Vega 6
2905,GTX 1050
2906,UHD 620
2907,"Radeon HD 520 GPU, 2 GB"
2908,RTX 3050
2909,UHD
2910,Iris Xe
2911,UHD 620
2912,MX150
2913,MX130
2914,RTX 3050
2915,Iris Xe
2916,HD 520
2917,HD 5500
2918,Radeon
2919,Iris Plus
2920,Radeon R2
2921,UHD
2922,"Geforce GTX 1650 GPU, 4 GB"
2923,Radeon R4 
2924,GTX 1060
2925,Radeon R5
2926,GTX 1060
2927,"Geforce GTX 1050 GPU, 2 GB"
2928,"Geforce GTX 1650 GPU, 4 GB"
2929,Radeon R2
2930,GT 940MX
2931,MX150
2932,UHD
2933,MX130
2934,HD 620
2935,HD 620
2936,MX150
2937,"Geforce MX150 GPU, 2 GB"
2938,"Geforce GTX 1050Ti GPU, 4 GB"
2939,Radeon Vega 3
2940,HD 5500
2941,UHD 620
2942,Iris Xe
2943,"Geforce GTX 1650 GPU, 4 GB"
2944,HD 520
2945,940MX
2946,HD 620
2947,UHD
2948,HD 520
2949,HD 620
2950,UHD 600
2951,Radeon R5
2952,HD 620
2953,Iris Xe
2954,HD 610
2955,HD 520
2956,Radeon Vega 8
2957,HD 620
2958,Radeon Vega 8
2959,Radeon R5
2960,UHD
2961,"Geforce GTX 1650 GPU, 4 GB"
2962,Radeon R5
2963,UHD
2964,UHD
2965,UHD
2966,UHD
2967,HD 620
2968,MX250
2969,HD 620
2970,HD 520
2971,UHD 605
2972,UHD 620
2973,UHD 620
2974,HD 620
2975,HD 520
2976,Radeon
2977,N16V-GMR1
2978,HD 620
2979,HD 520
2980,UHD
2981,"Geforce MX110 GPU, 2 GB"
2982,HD 620
2983,UHD 600
2984,HD 520
2985,HD 520
2986,UHD
2987,HD
2988,GTX 1050
2989,HD 620
2990,HD 405
2991,UHD 620
2992,Radeon R5
2993,"Geforce RTX 2060 GPU, 6 GB"
2994,HD Graphics
2995,Radeon Vega 8
2996,Radeon Vega 8
2997,GTX 1050
2998,GTX 1650 Max Q
2999,GTX 1050
3000,HD 620
3001,Radeon Vega 8
3002,UHD
3003,GTX 1650
3004,UHD 620
3005,HD 620
3006,UHD 620
3007,UHD
3008,"Geforce MX130 GPU, 2 GB"
3009,Radeon R4
3010,"Geforce MX130 GPU, 2 GB"
3011,HD 620
3012,HD 520
3013,"Geforce GTX 1650 GPU, 4 GB"
3014,GTX 1650
3015,GTX 1650
3016,HD 520
3017,UHD
3018,UHD 600
3019,Radeon
3020,HD Graphics
3021,Radeon Vega 8
3022,RTX 3050
3023,UHD
3024,Radeon Vega 8
3025,"Geforce GTX 1650 Ti` GPU, 4 GB"
3026,UHD
3027,UHD
3028,UHD 620
3029,"Geforce GTX 1650 GPU, 4 GB"
3030,Radeon
3031,UHD 
3032,Radeon Vega 8
3033,Radeon R5
3034,Integrated
3035,UHD 605
3036,UHD
3037,UHD
3038,Radeon R3
3039,"Radeon R5 M430 GPU, 4 GB"
3040,UHD
3041,GTX 1650
3042,HD 500
3043,"Geforce GTX 1650 GPU, 4 GB"
3044,"Radeon R5 M430 GPU, 2 GB"
3045,Iris Pro
3046,"Geforce GTX 1650 GPU, 4 GB"
3047,UHD 620
3048,Radeon R3
3049,"Geforce RTX 2060 GPU, 6 GB"
3050,UHD 620
3051,UHD 600
3052,UHD
3053,UHD
3054,Radeon
3055,"UHD GPU, 128 MB"
3056,UHD 620
3057,UHD
3058,GTX 1650
3059,GT 940MX
3060,Radeon Vega
3061,UHD
3062,Iris Xe
3063,MX230
3064,HD 505
3065,Iris Xe
3066,Radeon R2
3067,GTX 1650
3068,"Geforce GTX 1650 Ti GPU, 4 GB"
3069,UHD
3070,M1
3071,HD Graphics
3072,"Geforce GTX 1650 GPU, 4 GB"
3073,HD 505
3074,"Geforce GTX 1650 Ti GPU, 4 GB"
3075,GTX 1650 Max Q
3076,GTX 1650
3077,Radeon Vega 3
3078,Radeon Vega 3
3079,Radeon Vega 3
3080,UHD 620
3081,RTX 3050
3082,RTX 3050
3083,Radeon Vega
3084,GTX 1650
3085,"Geforce GTX 1650 Ti GPU, 4 GB"
3086,HD
3087,HD 620
3088,"Geforce GTX 1650 Ti GPU, 4 GB"
3089,MX450
3090,GTX 1650
3091,"Geforce GTX 1650 GPU, 4 GB"
3092,HD 500
3093,HD 500
3094,UHD
3095,HD 620
3096,UHD 620
3097,UHD
3098,HD 620
3099,GTX 1060
3100,UHD
3101,UHD 620
3102,UHD
3103,UHD 600
3104,UHD
3105,UHD 620
3106,RTX 3050
3107,HD 620
3108,RTX 2060
3109,HD 500
3110,"Radeon 530 GPU, 2 GB"
3111,UHD 620
3112,Integrated Graphics
3113,HD Graphics
3114,Radeon
3115,UHD
3116,GTX 1650
3117,RTX 3050
3118,Radeon R2
3119,MX130
3120,"Geforce MX130 GPU, 2 GB"
3121,UHD 620
3122,Radeon
3123,"Radeon R5 M430 GPU, 2 GB"
3124,UHD
3125,UHD
3126,"Radeon RX 6600M GPU, 8 GB"
3127,Radeon R7
3128,UHD
3129,Radeon Vega 8
3130,"Radeon RX 6600M GPU, 8 GB"
3131,GTX 1060
3132,"Geforce GTX 1650 Ti GPU, 4 GB"
3133,UHD 620
3134,GTX 1650
3135,Radeon
3136,"Radeon 520 GPU, 2 GB"
3137,UHD
3138,UHD
3139,"Geforce GTX 1650 GPU, 4 GB"
3140,"Geforce MX 150 GPU, 2 GB"
3141,HD 620
3142,"Radeon 530 GPU, 4 GB"
3143,UHD
3144,"Radeon 520 GPU, 2 GB"
3145,UHD
3146,Radeon Vega
3147,UHD
3148,GTX 1650 Ti Max Q
3149,UHD
3150,Iris X
3151,UHD
3152,Iris Xe
3153,Iris Plus
3154,MX230
3155,UHD
3156,Iris Xe
3157,UHD 620
3158,UHD
3159,UHD
3160,RTX 3060
3161,UHD
3162,RTX 3050
3163,"Geforce 940MX GPU, 2 GB"
3164,820M
3165,UHD
3166,Radeon Vega 8
3167,Radeon
3168,Radeon R4
3169,HD 620
3170,Radeon Vega 8
3171,Iris Xe
3172,Iris Xe
3173,UHD
3174,GTX 3050
3175,GTX 1650
3176,940MX
3177,940MX
3178,Radeon Vega 8
3179,"Radeon R7 M260 GPU, 2 GB"
3180,940MX
3181,HD 620
3182,HD 620
3183,Iris Xe
3184,HD 610
3185,MX150
3186,UHD 617
3187,UHD
3188,Radeon R2
3189,UHD
3190,UHD 620
3191,"Geforce GTX 1650 Ti with Max-Q GPU, 4 GB"
3192,MX350
3193,"Geforce MX250 GPU, 2 GB"
3194,GTX 940MX
3195,GTX 1650
3196,920MX
3197,UHD
3198,GTX 1050
3199,UHD
3200,UHD 600
3201,HD 610
3202,HD 500
3203,Radeon R5
3204,UHD
3205,HD 615
3206,UHD 620
3207,UHD
3208,UHD 620
3209,GTX 1050
3210,UHD
3211,UHD 617
3212,HD 620
3213,UHD
3214,920MX
3215,UHD
3216,Iris Xe
3217,UHD 620
3218,RTX 3050
3219,"Geforce GTX 1650Ti GPU, 4 GB"
3220,GTX 1060
3221,UHD 617
3222,UHD
3223,Iris Xe
3224,"Geforce GTX 1050Ti GPU, 4 GB"
3225,"Geforce GTX 1650 GPU, 4 GB"
3226,RTX 3060
3227,HD 615
3228,Iris Xe
3229,HD 620
3230,UHD
3231,"Geforce GTX 1650 GPU, 4 GB"
3232,GTX 960M
3233,MX110
3234,"Geforce GTX 1650 GPU, 4 GB"
3235,UHD
3236,UHD 620
3237,UHD
3238,GTX 1650
3239,UHD
3240,"Geforce 940MX GPU, 2 GB"
3241,UHD
3242,"Radeon RX 5500M GPU, 4 GB"
3243,"Geforce MX110 GPU, 2 GB"
3244,Radeon R2
3245,Iris Plus
3246,HD 620
3247,"Radeon 530 GPU, 2 GB"
3248,Iris Xe
3249,RTX 4050
3250,"Geforce GT 820M GPU, 2 GB"
3251,GTX 1650
3252,Radeon Vega 6
3253,RTX 3050
3254,940MX
3255,RTX 3050
3256,UHD 605
3257,"Geforce GTX 1650 GPU, 4 GB"
3258,RTX 3050
3259,RTX 3050
3260,RTX 3050
3261,RTX 3060
3262,Iris Xe
3263,940MX
3264,UHD 620
3265,HD 500
3266,GTX 1650
3267,Iris Xe
3268,"Geforce GTX 1650 Ti GPU, 4 GB"
3269,RTX 3050
3270,920MX
3271,RTX 2060
3272,Iris Xe
3273,UHD 620
3274,HD
3275,"R5 M230 GPU, 2 GB"
3276,Iris Xe
3277,"Geforce MX130 GPU, 2 GB"
3278,UHD 620
3279,UHD
3280,HD 520
3281,MX150 
3282,HD 620
3283,UHD
3284,UHD 620
3285,Radeon R4
3286,HD 520
3287,940MX
3288,GTX 1050
3289,UHD 620
3290,HD 500
3291,UHD
3292,RTX 3050
3293,UHD
3294,Iris Xe
3295,Radeon Vega 3
3296,HD 610
3297,Radeon Vega 3
3298,Iris Xe
3299,UHD 620
3300,UHD
3301,UHD
3302,GTX 1650
3303,Iris Xe
3304,"Geforce GTX 1050 GPU, 4 GB"
3305,RTX 3060
3306,"Radeon R5 M430 GPU, 2 GB"
3307,Radeon R4
3308,Iris Plus
3309,Iris Xe
3310,GeForce 920M
3311,UHD
3312,GTX 1050Ti
3313,UHD
3314,Radeon Vega 8
3315,HD 620
3316,UHD
3317,HD 515
3318,MX230
3319,Radeon R4
3320,Iris Plus Graphics 645
3321,RTX 3050
3322,GTX 1650
3323,HD 620
3324,Radeon
3325,MX250
3326,"Geforce GTX 1660 Ti GPU, 6 GB"
3327,GTX 1050
3328,Iris Plus
3329,Iris Xe
3330,Iris Xe
3331,HD Graphics
3332,UHD
3333,RTX 3070
3334,"Geforce GTX 1660 Ti GPU, 6 GB"
3335,Iris Xe
3336,UHD
3337,"Geforce MX130 GPU, 2 GB"
3338,UHD 600
3339,Iris Plus 655
3340,HD 500
3341,"Geforce MX230 GPU, 2 GB"
3342,Iris Xe
3343,Radeon Vega
3344,"Geforce GTX 1650 Ti GPU, 4 GB"
3345,UHD
3346,Radeon
3347,"Radeon 520 GPU, 2 GB"
3348,Integrated
3349,UHD
3350,Radeon R2
3351,Iris Plus 640
3352,Radeon
3353,Radeon R2
3354,UHD 620
3355,UHD 600
3356,HD 620
3357,Radeon R5
3358,RTX 3050
3359,MX330
3360,UHD
3361,Radeon Vega 3
3362,Radeon Vega 3
3363,GTX 1650
3364,UHD
3365,HD 620
3366,UHD 600
3367,"Geforce 940MX GPU, 2 GB"
3368,UHD 600
3369,UHD
3370,Iris Xe
3371,Iris Xe
3372,"Geforce GTX 1650 GPU, 4 GB"
3373,UHD
3374,"Radeon Pro 5500M GPU, 4 GB"
3375,Iris Xe
3376,HD 615
3377,GTX 1650
3378,MX150
3379,MX450
3380,MX250
3381,"Geforce GTX 1050Ti GPU, 4 GB"
3382,UHD
3383,HD 405
3384,RTX 3050 Ti
3385,GTX 1050 
3386,GTX 1650
3387,Radeon Vega 8
3388,"Geforce MX150 GPU, 2 GB"
3389,Radeon
3390,"Geforce GTX 1050Ti GPU, 4 GB"
3391,MX330
3392,GTX 1650
3393,HD 620
3394,HD
3395,Radeon Vega 8
3396,GTX 960M
3397,GT 940MX
3398,"Geforce GTX 1650 Ti GPU, 4 GB"
3399,UHD
3400,Radeon
3401,Iris Xe
3402,UHD 620
3403,UHD 600
3404,Radeon
3405,UHD 620
3406,Radeon R7
3407,Iris Xe
3408,GTX 1650
3409,"Radeon 530 GPU, 2 GB"
3410,UHD
3411,UHD 620
3412,Iris Xe
3413,MX150
3414,"Geforce MX150 GPU, 2 GB"
3415,RTX 3050 Ti
3416,Radeon Vega 3
3417,Radeon Vega 8
3418,HD 620
3419,HD
3420,UHD 620
3421,Radeon
3422,GTX 1650
3423,HD 5300
3424,UHD 605 
3425,"Geforce GTX 1650 GPU, 4 GB"
3426,UHD
3427,"Radeon 520 GPU, 2 GB"
3428,UHD 620
3429,UHD
3430,Radeon RX Vega 10
3431,"Geforce GTX 1660 Ti GPU, 6 GB"
3432,Radeon R5
3433,"Geforce GTX 1050 GPU, 4 GB"
3434,RTX 3050
3435,"Geforce MX130 GPU, 2 GB"
3436,Radeon Vega 8
3437,Radeon
3438,UHD
3439,HD Graphics
3440,Radeon RX Vega 6
3441,HD 620
3442,Iris Plus Graphics 655
3443,UHD
3444,HD Graphics
3445,"Geforce GTX 1660 Ti GPU, 6 GB"
3446,Iris Xe
3447,RTX 2080
3448,UHD
3449,MX330
3450,Radeon Vega 8
3451,UHD
3452,UHD 620
3453,GTX 1650
3454,Radeon Vega 8
3455,Radeon R4
3456,UHD
3457,UHD
3458,HD 
3459,UHD
3460,MX350
3461,UHD Graphics
3462,Radeon R2
3463,GTX 1650
3464,"Radeon R7 M440 GPU, 2 GB"
3465,920MX
3466,HD
3467,Radeon
3468,"Geforce 940M GPU, 2 GB"
3469,UHD
3470,HD 520
3471,UHD 620
3472,930M
3473,Radeon Vega 3
3474,RTX 3050
3475,Radeon R4
3476,Radeon Vega 8
3477,UHD
3478,HD
3479,HD
3480,920M
3481,HD 5500
3482,Radeon
3483,UHD
3484,GTX 1650
3485,Iris graphics
3486,Radeon Vega 8
3487,"Radeon HD 8570M GPU, 2 GB"
3488,RTX 3050
3489,RTX 3050
3490,"Radeon R5 M430 GPU, 2 GB"
3491,R5
3492,930M
3493,"Radeon Pro 450 GPU, 2 GB"
3494,"Radeon HD 8670M GPU, 2 GB"
3495,UHD
3496,UHD 620
3497,820M
3498,"Geforce GTX 1650 Ti GPU, 4 GB"
3499,840M
3500,HD 4400
3501,"Radeon HD R7 M265 GPU, 2 GB"
3502,Radeon R2
3503,UHD
3504,HD Graphics
3505,UHD
3506,UHD 620
3507,830M
3508,HD 520
3509,RTX 3060
3510,"Radeon HD 8670M GPU, 1 GB"
3511,GTX 1060
3512,HD 4400
3513,UHD
3514,HD 4000
3515,HD 520
3516,830M
3517,HD 4000
3518,940M
3519,830M
3520,"Geforce GTX 1650 GPU, 4 GB"
3521,HD 620
3522,HD Graphics
3523,RTX 3060
3524,930MX
3525,HD 520
3526,HD
3527,830M
3528,GT 740M
3529,GTX 850M
3530,UHD
3531,HD 5500
3532,HD
3533,RTX 3060
3534,"Radeon HD 520 GPU, 2 GB"
3535,HD
3536,RTX 2080
3537,GTX 1050Ti
3538,MX450
3539,Iris Xe
3540,HD 4400
3541,UHD
3542,HD 4000
3543,GTX 1050
3544,RTX 3060
3545,UHD
3546,RTX 3060
3547,GT 820M
3548,RTX 3080
3549,GTX 1060
3550,"Radeon RX 580 GPU, 4 GB"
3551,RTX 3060
3552,RTX 3060
3553,RTX 3060
3554,RTX 3080
3555,RTX 3050 Ti
3556,UHD 620
3557,Radeon
3558,Radeon R2
3559,HD 620
3560,Radeon
3561,Iris Xe
3562,UHD
3563,UHD 620
3564,940MX
3565,UHD
3566,Iris Plus
3567,Radeon Vega 8
3568,Iris Xe
3569,GTX 1650
3570,UHD 620
3571,RTX 3060
3572,Radeon Vega 3
3573,HD 620
3574,Radeon R5
3575,UHD
3576,"Geforce GTX 1650 GPU, 4 GB"
3577,MX110
3578,RTX 4060
3579,UHD 605
3580,Iris Xe
3581,"Geforce 940M GPU, 2 GB"
3582,HD
3583,HD 520
3584,Iris Xe
3585,Integrated
3586,Radeon R4
3587,HD 520
3588,Iris Xe
3589,GTX 1050
3590,UHD 620
3591,HD 620
3592,HD 620
3593,UHD 600
3594,UHD 620
3595,HD Graphics
3596,UHD
3597,Radeon Vega 8
3598,MX110
3599,"Pro 555X GPU, 4 GB"
3600,GTX 1050
3601,"Geforce MX130 GPU, 2 GB"
3602,HD 520
3603,UHD 620
3604,UHD
3605,"Iris Xe Max GPU, 4 GB"
3606,HD 520
3607,GTX 1050TI
3608,UHD
3609,UHD
3610,HD 520
3611,MX350
3612,UHD
3613,Radeon
3614,"Geforce MX250 GPU, 2 GB"
3615,920MX 
3616,Iris Xe
3617,MX350
3618,MX450
3619,UHD 620
3620,"Geforce GTX 1650 GPU, 4 GB"
3621,Radeon R4
3622,UHD
3623,Iris Xe
3624,RTX 3050
3625,Iris Xe
3626,RTX 3060
3627,UHD 620
3628,HD 620
3629,Iris Xe
3630,Radeon
3631,"Radeon 520 GPU, 2 GB"
3632,UHD
3633,Iris Xe
3634,UHD
3635,RTX 3050
3636,1650 Ti
3637,940 MX
3638,"Radeon 520 GPU, 2 GB"
3639,RTX 3050
3640,GTX 1660 Ti
3641,940MX
3642,SQ1 Adreno 685 GPU
3643,Iris Xe
3644,RTX 3070
3645,Radeon
3646,"Geforce GTX 860M GPU, 2 GB"
3647,Iris Xe
3648,GTX 1060
3649,RTX 3050
3650,UHD 620
3651,"Geforce GTX 1660 Ti GPU, 6 GB"
3652,UHD 620
3653,HD 620
3654,UHD
3655,UHD
3656,UHD 620
3657,"Iris Xe GPU, 4 GB"
3658,"Radeon RX 5600M GPU, 6 GB"
3659,Radeon Vega 8
3660,Radeon R5
3661,RTX 3050
3662,UHD 620
3663,UHD
3664,RTX 3050
3665,HD 520
3666,HD 620
3667,MX130
3668,RTX 3050
3669,GTX 1050
3670,RTX 2060
3671,RTX A1000
3672,Radeon
3673,GTX 1650
3674,UHD
3675,"Geforce MX150 GPU, 2 GB"
3676,UHD
3677,"Geforce MX250 GPU, 2 GB"
3678,"Radeon 530 GPU, 2 GB"
3679,Iris Xe
3680,GTX 1050
3681,"Radeon 530 GPU, 2 GB"
3682,UHD
3683,UHD
3684,GTX 1050
3685,"Geforce MX250 GPU, 2 GB"
3686,MX450
3687,Radeon R2
3688,Radeon
3689,UHD Graphics
3690,UHD
3691,Iris Xe
3692,UHD
3693,Radeon R5
3694,"Geforce MX150 GPU, 2 GB"
3695,RTX 3050
3696,Iris Xe
3697,UHD
3698,GTX 1050T
3699,"Pro 555X GPU, 4 GB"
3700,UHD
3701,UHD 605
3702,"Radeon R5 M430 GPU, 2 GB"
3703,"Geforce GTX 1070 GPU, 8 GB"
3704,Iris Xe
3705,Radeon
3706,920MX
3707,HD 520
3708,MX230
3709,"Geforce RTX 2060 with Max-Q Design GPU, 6 GB"
3710,Radeon R4
3711,"Radeon 530 GPU, 4 GB"
3712,"Geforce MX250 GPU, 2 GB"
3713,UHD
3714,"Geforce RTX 2070 Super GPU, 8 GB"
3715,MX250
3716,UHD 620
3717,MX230
3718,Iris Plus
3719,Radeon R5
3720,MX110
3721,UHD
3722,GTX 1660 Ti
3723,MX110
3724,"Geforce GTX 1050Ti GPU, 4 GB"
3725,Radeon Vega 6
3726,MX150
3727,RTX 3070
3728,HD 4400
3729,"Geforce GTX 1660 Ti GPU, 6 GB"
3730,RTX 3050
3731,"Radeon HD 8670M GPU, 2 GB"
3732,Integrated UHD
3733,"Radeon R5 M330 GPU, 2 GB"
3734,RTX 3060
3735,UHD
3736,UHD
3737,UHD
3738,"Geforce MX130 GPU, 2 GB"
3739,HD Graphics 620
3740,UHD
3741,Iris Xe
3742,HD 620
3743,GTX 1650
3744,"Geforce GTX 1650 GPU, 4 GB"
3745,RTX 2060
3746,Iris Xe
3747,UHD 620
3748,Radeon
3749,MX250
3750,RTX 3070
3751,MX250
3752,Iris Xe
3753,UHD 620
3754,UHD 620
3755,MX450
3756,GTX 1650
3757,UHD
3758,UHD
3759,HD 400
3760,Radeon
3761,Radeon
3762,Iris Xe
3763,"Geforce RTX 2060 GPU, 6 GB"
3764,Iris Xe
3765,UHD 600
3766,"Geforce GTX 1650 Ti GPU, 4 GB"
3767,RTX 2080
3768,MX350
3769,UHD 620
3770,Radeon
3771,"Radeon 535 GPU, 2 GB"
3772,830M
3773,UHD 620
3774,UHD 600
3775,MX350
3776,GTX 1650
3777,Iris Xe
3778,RTX 3060
3779,MX130
3780,"Geforce MX130 GPU, 2 GB"
3781,Radeon
3782,HD 4400
3783,RTX 3070
3784,UHD
3785,Iris Xe
3786,GTX 1660
3787,UHD 620
3788,UHD 605 
3789,"Geforce GT 940MX GPU, 2 GB"
3790,Iris Plus
3791,Radeon
3792,UHD 620
3793,HD 4400
3794,Iris Xe
3795,Radeon Vega 8
3796,HD 520
3797,MX450
3798,MX350
3799,GTX 1050
3800,UHD 600
3801,"Geforce GTX 1650 GPU, 4 GB"
3802,GT 940MX
3803,"Geforce GTX MX330 GPU, 2 GB"
3804,"Geforce RTX 2060 GPU, 6 GB"
3805,Iris Xe
3806,"Geforce RTX 2070 GPU, 8 GB"
3807,UHD 620
3808,RTX 3060
3809,Integrated
3810,UHD
3811,Iris Xe
3812,UHD 605
3813,RTX 3060
3814,GTX 1050
3815,830M
3816,Radeon
3817,Iris Xe
3818,Radeon
3819,UHD 620
3820,MX350
3821,Integrated
3822,UHD
3823,MX130
3824,940MX
3825,UHD
3826,GTX 1650
3827,Radeon R2
3828,Iris X
3829,"Geforce MX150 GPU, 2 GB"
3830,GTX 1060
3831,Radeon R3
3832,UHD 620
3833,UHD
3834,UHD 600
3835,MX110
3836,UHD
3837,Integrated
3838,HD 520
3839,Iris Xe
3840,HD 520
3841,Radeon
3842,RTX 3070 Ti
3843,UHD
3844,HD 620
3845,Radeon Vega 8
3846,UHD
3847,GTX 1050
3848,Radeon R2
3849,Integrated
3850,RTX 3050
3851,HD 520
3852,RTX 3070 Ti
3853,Iris Xe
3854,MX350
3855,Iris Xe
3856,Radeon RX Vega 6
3857,UHD
3858,RTX 3070
3859,Radeon
3860,"Geforce RTX 2080 with Max-Q GPU, 8 GB"
3861,UHD 600
3862,RTX 3050
3863,"Geforce GTX 1050 GPU, 4 GB"
3864,Iris Xe
3865,UHD
3866,RTX 3060
3867,Radeon R5
3868,UHD
3869,RTX 3070 Ti
3870,Radeon
3871,Radeon
3872,UHD
3873,MX230
3874,"Radeon RX640 GPU, 2 GB"
3875,UHD 620
3876,UHD
3877,UHD 620
3878,UHD 620
3879,"Radeon RX 640 GPU, 2 GB"
3880,UHD
3881,820M
3882,MX150
3883,Radeon RX Vega 5
3884,RTX 2060
3885,Radeon
3886,820M
3887,Iris Xe
3888,HD
3889,HD 620
3890,MX450
3891,UHD
3892,RTX 2060
3893,Radeon
3894,Iris Xe
3895,Iris Xe
3896,RTX 3050
3897,"Geforce RTX 2080 GPU, 8 GB"
3898,"Radeon RX 6700S GPU, 8 GB"
3899,HD Graphics
3900,"Geforce GTX 1060 GPU, 6 GB"
3901,UHD
3902,UHD 620
3903,920M
3904,RTX 4050
3905,Integrated
3906,"Geforce GTX 1660 Ti GPU, 6 GB"
3907,UHD
3908,RTX 2060
3909,MX230
3910,Radeon RX Vega 7 
3911,UHD
3912,RTX 3050 Ti
3913,"Geforce MX150 GPU, 2 GB"
3914,RTX 2060
3915,Radeon Vega 8
3916,RTX 4050
3917,GTX 1650 Ti
3918,"EXO PRO R5 M330 GPU, 2 GB"
3919,HD 615
3920,930M
3921,GeForce MX230
3922,RTX 2060
3923,MX550
3924,"Geforce 940MX GPU, 2 GB"
3925,Radeon
3926,"Geforce Gt 940MX GPU, 2 GB"
3927,RTX 2060
3928,UHD 620
3929,Integrated
3930,Iris Xe
3931,UHD 620
3932,UHD 620
3933,RTX 3070
3934,HD 4400
3935,Radeon
3936,HD 520
3937,UHD 620
3938,UHD
3939,"Geforce MX110 GPU, 2 GB"
3940,UHD
3941,UHD
3942,RTX 3070
3943,RTX 4070
3944,RTX 3060
3945,Iris Xe
3946,UHD
3947,MX150
3948,RTX 3070
3949,HD 620
3950,Radeon Vega 8
3951,Iris Xe
3952,RTX 2080
3953,UHD
3954,"Geforce RTX 2060 GPU, 6 GB"
3955,RTX 2060
3956,"Geforce RTX 2080 Super GPU, 8 GB"
3957,HD 620
3958,RTX 2080
3959,Iris Xe
3960,"Geforce MX230 GPU, 2 GB"
3961,UHD
3962,"Geforce GTX 1050Ti GPU, 4 GB"
3963,"Geforce MX150 GPU, 2 GB"
3964,UHD
3965,"Geforce RTX 2080 Super GPU, 8 GB"
3966,MX150
3967,RTX 3050 Ti
3968,UHD
3969,RTX 3050
3970,"Geforce GTX 1070 GPU, 8 GB"
3971,"Geforce MX150 GPU, 2 GB"
3972,UHD
3973,RTX 3050
3974,GTX 1650
3975,"Geforce GTX 1650 GPU, 4 GB"
