Price,RAM,Display,SSD
-0.933082843,-1.221576172,11.6,-1.211296675
-0.67234261,-0.56170288,15.6,0.14493602
0.155246379,0.758043705,15.6,0.14493602
-0.952688846,-0.56170288,15.6,0.14493602
-0.411386711,-0.56170288,14,0.14493602
0.439337361,0.758043705,15.6,0.14493602
-0.766431818,-0.56170288,15.6,0.14493602
-0.501574325,-0.56170288,14,0.14493602
-0.658598802,-0.56170288,14,0.14493602
-0.442756316,0.758043705,15.6,0.14493602
-0.719181351,-0.56170288,15.6,0.14493602
-0.766431818,-0.56170288,15.6,-0.630054091
-0.384114761,-0.56170288,15.6,0.14493602
-0.884871682,-0.56170288,14,-0.630054091
-0.854658831,-0.56170288,14,0.14493602
-0.614289235,-0.56170288,15.6,0.14493602
-0.380781741,-0.56170288,15.6,0.14493602
-0.913300386,-1.221576172,15.6,-0.630054091
-0.109630721,0.758043705,15.6,0.14493602
0.047217303,0.758043705,15.6,0.14493602
1.948999585,3.397536874,14,1.694916243
-0.658422348,-0.56170288,14,0.14493602
0.370912411,0.758043705,15.6,0.14493602
0.047217303,0.758043705,13.3,0.14493602
1.164759468,0.758043705,15.6,1.694916243
-0.089848264,-0.56170288,15.6,-0.630054091
-0.384114761,-0.56170288,15.6,0.14493602
-0.207484281,-0.56170288,15.6,-0.630054091
-0.403720764,0.758043705,15.6,0.14493602
-0.638992799,-0.56170288,15.6,0.14493602
-0.295691688,0.758043705,15.6,0.14493602
0.184459323,0.758043705,15.6,0.14493602
0.419731358,0.758043705,14,0.14493602
-0.835052828,-0.56170288,14,0.14493602
-0.540786331,-0.56170288,14,-0.630054091
-0.050812712,-0.56170288,13.3,-1.017549147
-0.917123556,-1.221576172,15.6,-1.405044203
-0.657951804,-0.56170288,15.6,0.14493602
-0.413327706,-0.56170288,15.6,0.14493602
-0.717416811,-0.56170288,15.6,0.14493602
-0.658598802,-0.56170288,15.6,-0.630054091
-0.560392333,-0.56170288,15.6,0.14493602
-0.668225349,-0.56170288,15.6,0.14493602
-0.413523766,-0.56170288,15.6,0.14493602
-0.776234819,-0.56170288,15.6,0.14493602
-0.717652083,-0.56170288,14,0.14493602
-0.670754524,-1.221576172,15.6,-1.405044203
-0.599780793,-0.56170288,15.6,0.14493602
-0.58017479,-0.56170288,15.6,0.14493602
-0.738257992,-0.56170288,15.6,-1.405044203
-0.439050781,-0.56170288,15.6,0.14493602
-0.795840822,-0.56170288,14,-0.630054091
-0.384114761,0.758043705,15.6,0.14493602
-0.30569075,-0.56170288,15.6,0.14493602
-0.344706695,-0.56170288,15.6,0.14493602
-0.344706695,-0.56170288,15.6,0.14493602
-0.619386796,0.758043705,15.6,0.14493602
-0.737022814,-0.56170288,15.6,0.14493602
-0.703692609,-0.56170288,15.6,-0.630054091
-0.707437355,-0.56170288,15.6,-0.630054091
-0.656461748,-0.56170288,15.6,0.14493602
-0.315493751,-0.56170288,14,0.14493602
-0.746629755,-0.56170288,15.6,-0.630054091
-0.462538773,-0.56170288,15.6,0.14493602
-0.246872741,0.758043705,15.6,0.14493602
-0.286084747,-0.56170288,15.6,0.14493602
-0.660559402,-0.56170288,14,-0.630054091
-0.601545334,-0.56170288,14,0.14493602
-0.325120299,-0.56170288,16.1,0.14493602
-0.610407247,-0.56170288,15.6,0.14493602
-0.211385876,-0.56170288,15.6,0.14493602
-0.695654147,-0.56170288,15.6,0.14493602
-0.658598802,-0.56170288,15.6,0.14493602
-0.37431176,-0.56170288,15.6,0.14493602
-0.756628817,-0.56170288,15.6,-0.630054091
-0.839268119,-1.221576172,14,0.14493602
-0.788586601,-1.221576172,15.6,-1.405044203
-0.305514296,-0.56170288,14,0.14493602
-0.729180412,-0.56170288,14,0.14493602
-0.392388494,0.758043705,14,0.14493602
-1.031112857,-1.221576172,15.6,-1.017549147
-0.423326767,0.758043705,15.6,0.14493602
-0.227266738,0.758043705,16,0.14493602
0.071920866,-0.56170288,15.6,0.14493602
-0.046695451,-0.56170288,15.6,-0.630054091
-1.070324863,-1.221576172,14.1,-1.017549147
-0.264341689,-0.56170288,14,-0.630054091
-0.434678643,-0.56170288,15.6,0.14493602
-0.972294849,-1.221576172,14.1,-1.017549147
-0.687811746,-0.56170288,15.6,0.14493602
-0.638816345,-0.56170288,15.6,0.14493602
-0.795840822,0.758043705,15.6,0.14493602
-0.362352098,0.758043705,15.6,0.14493602
-0.678204805,-0.56170288,15.6,0.14493602
-0.560568787,-0.56170288,14,0.14493602
-0.815446825,-0.56170288,15.6,0.14493602
-0.658598802,-0.56170288,15.6,-1.405044203
-0.070418715,-0.56170288,15.6,0.14493602
-0.668284167,-0.56170288,14,0.14493602
-0.364332304,0.758043705,15.6,0.14493602
-0.821132566,-0.56170288,14,-1.405044203
-0.763275252,-0.56170288,15.6,0.14493602
-0.011600706,-0.56170288,16.1,0.14493602
-0.168448729,-0.56170288,15.6,0.14493602
-0.819191572,-0.56170288,14,-0.630054091
-0.582919631,-0.56170288,15.6,-0.630054091
-0.462538773,-0.56170288,14,-0.630054091
0.0315325,0.758043705,14,0.14493602
-0.756628817,-0.56170288,14,0.14493602
-0.737022814,-0.56170288,15.6,-0.630054091
-0.021207647,-0.56170288,15.6,-0.630054091
0.831633873,0.758043705,15.6,0.14493602
-0.540962785,-0.56170288,14,0.14493602
-0.599780793,-0.56170288,14,-0.630054091
0.145443377,0.758043705,14,0.14493602
-0.866422433,-0.56170288,15.6,0.14493602
-0.599780793,0.758043705,15.6,0.14493602
-0.725631726,-0.56170288,14,-1.405044203
-0.638992799,-0.56170288,15.6,0.14493602
-0.070418715,0.758043705,16,0.14493602
1.556879527,0.758043705,16,1.694916243
-0.403622734,-0.56170288,14,-0.630054091
0.782442412,0.758043705,15.6,0.14493602
0.573344391,0.758043705,15.6,1.694916243
0.77263941,0.758043705,15.6,-1.017549147
-0.61995537,-0.56170288,14,-0.630054091
-0.266478744,0.758043705,14,0.14493602
-0.554686987,-1.221576172,14,-0.630054091
0.004280156,-0.56170288,15.6,-0.630054091
-0.933082843,-1.221576172,14,-0.630054091
-0.148666272,0.758043705,15.6,0.14493602
-0.903497384,-1.221576172,15.6,-1.405044203
0.282489338,0.758043705,15.6,0.14493602
-0.109630721,0.758043705,14,0.14493602
-0.109630721,-0.56170288,15.6,0.14493602
0.223671329,0.758043705,15.6,0.14493602
-0.482144776,-0.56170288,14,0.14493602
-0.189819272,-0.56170288,15.6,0.14493602
-0.91230048,-1.221576172,14,-0.630054091
-0.348627896,0.758043705,15.6,0.14493602
-0.384114761,0.758043705,15.6,0.14493602
-0.630954338,-0.56170288,14.1,0.14493602
-0.344902755,0.758043705,15.6,1.694916243
-0.781351986,-0.56170288,15.6,-0.630054091
-0.017286447,0.758043705,15.6,0.14493602
-0.87408838,-1.221576172,14,-0.630054091
-0.613799085,-0.56170288,14,-0.630054091
-0.188054732,0.758043705,14,0.14493602
-0.085613367,-0.56170288,15.6,0.14493602
-0.482144776,0.758043705,14,0.14493602
0.537367375,0.758043705,15.6,0.14493602
1.811757564,-0.56170288,13.3,0.14493602
-0.644894206,-0.56170288,15.6,-0.630054091
-0.021403707,0.758043705,15.6,0.14493602
0.380519352,0.758043705,13.3,0.14493602
-0.098710177,0.758043705,15.6,0.14493602
-0.531159783,0.758043705,15.6,0.14493602
-0.521356782,0.758043705,16,0.14493602
-0.619386796,-0.56170288,15.6,0.14493602
-0.619386796,-0.56170288,14,-0.630054091
-0.638992799,-0.56170288,14,0.14493602
0.255040934,0.758043705,13.3,0.14493602
-0.344902755,0.758043705,15.6,0.14493602
-0.286084747,0.758043705,15.6,0.14493602
1.628872769,0.758043705,13.4,1.694916243
-0.266478744,-0.56170288,14,0.14493602
-0.318238591,-0.56170288,15.6,-1.405044203
-0.478223575,-0.56170288,15.6,0.14493602
-0.090044324,0.758043705,14,0.14493602
-0.070418715,3.397536874,15.6,1.694916243
0.125641314,0.758043705,15.6,0.14493602
-0.717416811,-0.56170288,15.6,0.14493602
-0.588330888,-0.56170288,15.6,0.14493602
-0.403720764,0.758043705,14,0.14493602
0.170911575,0.758043705,14,0.14493602
-0.209425275,0.758043705,15.6,0.14493602
-0.423150313,0.758043705,15.6,0.14493602
1.458849512,0.758043705,15.6,1.694916243
-0.678204805,-0.56170288,15.6,-1.405044203
-0.805643824,-0.56170288,15.6,-0.630054091
-0.168644789,0.758043705,14,0.14493602
-0.540962785,-0.56170288,15.6,0.14493602
-0.540962785,-0.56170288,15.6,0.14493602
-0.540962785,-0.56170288,15.6,0.14493602
-0.383918701,-0.56170288,15.6,0.14493602
-0.688007806,-0.56170288,14,0.14493602
-0.462538773,-0.56170288,15.6,0.14493602
-0.364508758,0.758043705,17.3,0.14493602
1.85077351,0.758043705,15.6,1.694916243
0.086429309,0.758043705,15.6,0.14493602
-0.530963723,-0.56170288,15.6,-0.630054091
-0.119257268,-0.56170288,15.6,0.14493602
0.302095341,-0.56170288,17.3,0.14493602
-0.980843066,-1.221576172,14,-1.405044203
-0.021403707,0.758043705,16,0.14493602
-0.136000794,-0.56170288,15.6,0.14493602
0.145247317,0.758043705,15.6,0.14493602
-0.246872741,0.758043705,15.6,0.14493602
-0.750570562,-1.221576172,15.6,-0.630054091
-0.344902755,-0.56170288,15.6,0.14493602
-0.874264834,-1.221576172,15.6,-0.630054091
-0.913300386,-0.56170288,14,0.14493602
0.537367375,0.758043705,13.3,0.14493602
0.951250097,0.758043705,15.6,0.14493602
1.156897461,0.758043705,17.3,1.694916243
-0.360587558,0.758043705,14,0.14493602
-0.246872741,0.758043705,15.6,0.14493602
0.294448999,0.758043705,14,0.14493602
-0.286084747,-0.56170288,10.5,-1.017549147
-0.109630721,0.758043705,14,0.14493602
-0.423326767,0.758043705,15.6,0.14493602
-0.619386796,-0.56170288,14,0.14493602
-0.344902755,-0.56170288,15.6,-0.630054091
0.360913349,0.758043705,14,0.14493602
1.772545559,3.397536874,16,1.694916243
0.223671329,0.758043705,15.6,0.14493602
-0.762334163,-0.56170288,15.6,-0.630054091
-0.109630721,0.758043705,15.6,0.14493602
-0.655599084,-0.56170288,15.6,1.694916243
-0.286084747,-0.56170288,14,0.14493602
-0.497633518,-0.56170288,15.6,-0.630054091
0.086625369,0.758043705,14,0.14493602
0.419731358,0.758043705,17.3,1.694916243
0.106035311,-0.56170288,15.6,0.14493602
0.615987447,-0.56170288,13.5,-0.630054091
-0.560568787,-0.56170288,15.6,-0.630054091
1.164759468,0.758043705,15.6,0.14493602
0.086429309,0.758043705,14,0.14493602
-0.586252651,-0.56170288,15.6,0.14493602
-0.717416811,-0.56170288,15.6,0.14493602
0.556973378,0.758043705,15.6,1.694916243
0.302291401,-0.56170288,14,0.14493602
0.145247317,0.758043705,15.6,0.14493602
0.072705106,-0.56170288,14,0.14493602
0.876551226,0.758043705,15.6,0.14493602
0.443258561,0.758043705,14,0.14493602
-0.786057427,-1.221576172,14,-0.630054091
0.360913349,0.758043705,17.3,0.14493602
1.988211591,0.758043705,13.4,0.14493602
1.831363567,0.758043705,16,0.14493602
-0.638992799,-0.56170288,14,0.14493602
-0.091985318,0.758043705,15.6,0.14493602
0.086429309,0.758043705,15.6,0.14493602
0.008965991,0.758043705,15.6,0.14493602
-0.552569538,-0.56170288,14,-0.630054091
-0.658598802,-0.56170288,15.6,-0.630054091
0.223671329,0.758043705,14,0.14493602
-0.658598802,-0.56170288,15.6,-0.630054091
0.458943364,0.758043705,14,0.14493602
0.078586907,0.758043705,13.3,0.14493602
-0.333139154,0.758043705,15.6,0.14493602
-0.413523766,0.758043705,14,0.14493602
0.070744506,0.758043705,13.3,0.14493602
-0.383938307,-0.56170288,14,-0.630054091
-0.540962785,-0.56170288,15.6,0.14493602
0.390322354,0.758043705,15.6,0.14493602
1.449242571,0.758043705,13.5,0.14493602
-0.099631659,-0.56170288,15.6,-0.630054091
1.074767915,0.758043705,16.1,0.14493602
0.576579381,-0.56170288,13,-0.630054091
-0.697810808,-0.56170288,15.6,0.14493602
0.380519352,0.758043705,13.3,0.14493602
-0.530983329,-1.221576172,15.6,-1.405044203
0.145247317,0.758043705,13.3,0.14493602
0.576579381,-0.56170288,13,-0.630054091
-0.727043358,0.758043705,15.6,-0.630054091
1.674515544,0.758043705,14,1.694916243
0.321701343,-0.56170288,13.3,0.14493602
1.988211591,0.758043705,16,1.694916243
2.18427162,0.758043705,13.4,1.694916243
-0.697810808,-1.221576172,14,-1.405044203
0.184459323,-0.56170288,12.4,-0.630054091
3.517479817,3.397536874,15.6,1.694916243
1.909787579,0.758043705,14,1.694916243
5.08596005,0.758043705,17.3,1.694916243
0.968699439,0.758043705,15.6,1.694916243
-0.540962785,-0.56170288,15.6,-0.630054091
0.63539739,0.758043705,15.6,0.14493602
-0.040833256,0.758043705,15.6,0.14493602
-0.169232969,-0.56170288,14,0.14493602
-0.756628817,-0.56170288,15.6,0.14493602
-0.662343549,-0.56170288,15.6,0.14493602
1.24514408,0.758043705,16.1,1.694916243
0.211907727,0.758043705,14,0.14493602
0.360501623,-0.56170288,13,-0.630054091
-0.011424252,0.758043705,15.6,0.14493602
-0.837013428,-0.56170288,15.6,-0.630054091
0.405222916,0.758043705,14,0.14493602
0.576579381,0.758043705,14,1.694916243
4.497956417,3.397536874,17.3,4.794876689
0.929487434,0.758043705,14,0.14493602
0.751268867,0.758043705,15.6,0.14493602
1.949176039,0.758043705,16.1,1.694916243
0.341307346,0.758043705,13.3,0.14493602
0.411888957,0.758043705,15.6,0.14493602
0.351110348,0.758043705,15.6,1.694916243
2.399937652,0.758043705,13,0.14493602
-0.864461833,-0.56170288,14,0.14493602
-0.168448729,-0.56170288,15.6,-0.630054091
1.948999585,0.758043705,14,0.14493602
-0.090024718,-0.56170288,15.6,0.14493602
0.63539739,-0.56170288,13,-1.017549147
0.0256507,-0.56170288,15.6,0.14493602
-0.756452362,-0.56170288,14,-0.630054091
2.203877623,0.758043705,15,0.14493602
0.184459323,0.758043705,14,0.14493602
1.468652514,0.758043705,16,0.14493602
1.419637506,0.758043705,15.6,1.694916243
0.477961187,-0.56170288,13.3,0.14493602
1.125547463,0.758043705,13,-0.630054091
-0.364508758,-0.56170288,15.6,0.14493602
-0.333609698,0.758043705,14,0.14493602
1.14532992,0.758043705,14,1.694916243
0.000358956,0.758043705,15.6,0.14493602
2.060753801,0.758043705,14,1.694916243
0.104270771,-0.56170288,14,0.14493602
1.596091532,0.758043705,13.5,1.694916243
3.752751852,3.397536874,13,1.694916243
3.556691823,3.397536874,16,4.794876689
0.184459323,0.758043705,14,0.14493602
1.458849512,0.758043705,14,1.694916243
0.325955846,-0.56170288,14,-0.630054091
-0.835052828,-0.56170288,15.6,-0.630054091
-0.678204805,-0.56170288,15.6,0.14493602
-0.815446825,-0.56170288,15.6,0.14493602
-0.795840822,-0.56170288,14,0.14493602
-0.344902755,0.758043705,15.6,0.14493602
0.243453786,0.758043705,15.6,1.694916243
-0.815446825,-0.56170288,15.6,0.14493602
-0.266478744,0.758043705,15.6,0.14493602
-0.596996741,-0.56170288,15.6,0.14493602
-0.188054732,-0.56170288,15.6,0.14493602
-0.050812712,-0.56170288,14,0.14493602
0.49815537,0.758043705,15.6,0.14493602
0.537367375,0.758043705,15.6,0.14493602
0.043492162,0.758043705,14,1.694916243
-0.744865215,-0.56170288,15.6,0.14493602
-0.521356782,0.758043705,15.6,0.14493602
-0.697810808,-0.56170288,15.6,0.14493602
1.203971474,0.758043705,14,0.14493602
1.458849512,0.758043705,16,0.14493602
0.266804535,0.758043705,16,1.694916243
2.870481721,0.758043705,17.3,1.694916243
3.889503723,3.397536874,17.3,4.794876689
0.281901158,-0.56170288,14,0.14493602
2.772451707,0.758043705,15.6,1.694916243
1.948999585,3.397536874,14,1.694916243
1.869399213,3.397536874,14,1.694916243
-0.44293277,-0.56170288,15.6,0.14493602
2.243089628,3.397536874,16,4.794876689
2.380331649,0.758043705,13.4,1.694916243
-0.433129769,-0.56170288,14,0.14493602
1.672907852,0.758043705,16,0.14493602
0.280724797,0.758043705,14,0.14493602
1.949195645,3.397536874,17.3,4.794876689
2.703830697,3.397536874,16,1.694916243
1.075630579,0.758043705,16.1,0.14493602
1.145153466,0.758043705,15.6,1.694916243
1.596267986,0.758043705,13.5,0.14493602
-0.16113569,-0.56170288,15.6,0.14493602
5.713352143,3.397536874,16,4.794876689
1.723530551,0.758043705,16,1.694916243
-0.542688113,-0.56170288,15.6,-0.630054091
-0.688007806,-0.56170288,14,0.14493602
-0.236403135,0.758043705,16,0.14493602
0.164323958,0.758043705,16,0.14493602
0.517761373,0.758043705,16,1.694916243
0.63539739,0.758043705,16,1.694916243
-0.717416811,-0.56170288,15.6,-0.630054091
0.851063422,0.758043705,16.1,1.694916243
0.302095341,0.758043705,15.6,1.694916243
0.327191024,0.758043705,13.3,0.14493602
1.066729454,0.758043705,16.1,1.694916243
-0.227266738,0.758043705,16,0.14493602
-0.433325829,0.758043705,15.6,0.14493602
0.733427404,3.397536874,14,1.694916243
0.076626307,0.758043705,14,1.694916243
3.321419788,3.397536874,14,1.694916243
-0.346863356,-0.56170288,17,0.14493602
0.169813639,0.758043705,14,1.694916243
1.223753931,0.758043705,16,1.694916243
-0.531159783,-0.56170288,14,0.14493602
-0.295887748,-0.56170288,14,0.14493602
1.948764313,0.758043705,16,1.694916243
2.145236068,0.758043705,16,1.694916243
-0.501574325,0.758043705,15.6,0.14493602
-0.276281745,-0.56170288,16,0.14493602
-0.227266738,0.758043705,16,0.14493602
-0.276281745,0.758043705,14,0.14493602
-0.315493751,-0.56170288,14,0.14493602
-0.129236723,0.758043705,15.6,0.14493602
-0.050636258,0.758043705,15.6,0.14493602
0.753033407,0.758043705,15.6,0.14493602
-0.384114761,0.758043705,15.6,0.14493602
-0.87408838,-0.56170288,15.6,0.14493602
0.77263941,0.758043705,16,0.14493602
0.557169438,-0.56170288,13.3,1.694916243
0.125817768,0.758043705,14,1.694916243
7.438680399,3.397536874,16,4.794876689
0.180734183,0.758043705,16,0.14493602
0.478549367,0.758043705,15.6,1.694916243
-0.423326767,0.758043705,15.6,0.14493602
0.360913349,0.758043705,16,0.14493602
-0.027285508,0.758043705,14,0.14493602
-0.517435581,-0.56170288,15.6,0.14493602
0.282489338,0.758043705,16,0.14493602
-0.031206709,0.758043705,14,0.14493602
-0.278261952,0.758043705,14,0.14493602
0.184459323,0.758043705,15.6,0.14493602
0.831457419,0.758043705,14,0.14493602
-0.150626873,-0.56170288,15.6,0.14493602
-0.17021327,-0.56170288,14,0.14493602
8.495443956,3.397536874,16,1.694916243
0.210143187,0.758043705,14,0.14493602
0.335601999,0.758043705,14,0.14493602
-0.933082843,-1.221576172,14,-1.405044203
2.958885189,3.397536874,15.6,1.694916243
3.476503271,3.397536874,15.6,1.694916243
-0.032990855,0.758043705,16.1,0.14493602
-0.756452362,-1.221576172,15.6,-0.630054091
0.77263941,0.758043705,15.6,1.694916243
-0.236893285,0.758043705,16,0.14493602
1.215735076,0.758043705,14,0.14493602
-0.517121885,-0.56170288,15.6,-1.405044203
0.439337361,0.758043705,15.6,-0.630054091
1.663163668,0.758043705,14,0.14493602
-0.070418715,-0.56170288,14.1,1.694916243
-0.227266738,0.758043705,15.6,0.14493602
0.968699439,0.758043705,13.3,1.694916243
0.086605763,-0.56170288,15.6,0.14493602
2.025364966,0.758043705,14,1.694916243
-0.227266738,0.758043705,15.6,0.14493602
0.106231371,0.758043705,16,0.14493602
1.230223912,0.758043705,14,1.694916243
-0.697810808,-0.56170288,14,-0.630054091
0.479647303,-0.56170288,13.5,-0.630054091
1.262789483,-0.56170288,15,-0.630054091
-0.599780793,-0.56170288,15.6,-0.630054091
0.288763259,-0.56170288,16.1,0.14493602
-0.638992799,-0.56170288,15.6,0.14493602
0.06699976,-0.56170288,12.4,-1.017549147
1.596091532,0.758043705,14,1.694916243
-0.946944287,-1.221576172,14,-1.405044203
-0.78015602,-1.221576172,15.6,-1.405044203
0.20424178,-0.56170288,12.4,-0.630054091
0.064862705,-0.56170288,15.6,0.14493602
0.380519352,-0.56170288,13.3,-1.017549147
0.008201357,-0.56170288,13.3,-1.017549147
-0.433129769,-0.56170288,14,-0.630054091
-0.638816345,-0.56170288,15.6,0.14493602
-0.344902755,-0.56170288,15.6,-1.405044203
-0.952492786,-1.221576172,15.6,-1.405044203
0.125641314,0.758043705,15.6,0.14493602
-0.30549469,-0.56170288,15.6,0.14493602
-0.168448729,-0.56170288,14,-1.380825762
0.011632407,-0.56170288,14,-1.405044203
-0.30569075,-0.56170288,15.6,-1.356607321
-0.820152266,-1.221576172,14,-1.405044203
0.380519352,-0.56170288,12,-0.630054091
-0.560392333,-0.56170288,14,0.14493602
-0.638247771,-0.56170288,14,-0.630054091
-0.6468352,-0.56170288,14,0.14493602
-0.972294849,-1.221576172,15.6,-1.405044203
0.118524335,0.758043705,15.6,-0.630054091
-1.139984991,-1.551512818,10.1,-1.308170439
-0.501574325,-0.56170288,14,-0.630054091
-0.927671586,-1.221576172,15.6,-1.405044203
-0.641267095,-1.221576172,11.6,-1.356607321
0.184459323,-0.56170288,15.6,-1.017549147
-0.209621335,-0.56170288,15.6,-1.017549147
-0.392251252,-0.56170288,14,-1.405044203
-0.906006953,-0.56170288,15.6,-1.405044203
-1.031112857,-1.221576172,15.6,-1.405044203
-0.933063237,-1.221576172,15.6,-1.405044203
-0.874264834,-1.221576172,15.6,-1.405044203
-0.720220469,-0.56170288,15,-1.405044203
-0.802859771,-1.221576172,15.6,-1.405044203
-0.815270371,-1.221576172,11.6,-1.405044203
-0.207660735,-0.56170288,15.6,-0.630054091
-0.952688846,-1.221576172,11.6,-1.211296675
-0.854482377,-1.221576172,15.6,-1.405044203
-1.011506854,-1.221576172,15.6,-1.405044203
-0.817230972,-1.221576172,15.6,-0.630054091
-0.935043443,-1.221576172,15.6,-1.405044203
1.008087899,-0.56170288,15.6,-0.630054091
-0.934866989,-1.221576172,15.6,-1.405044203
-1.148748875,-1.221576172,14,-1.308170439
0.478549367,-0.56170288,13.3,-1.017549147
0.184459323,0.758043705,15.6,-0.630054091
-0.680655555,-0.56170288,15.6,-0.630054091
-0.897988097,-1.221576172,15.6,-1.405044203
-0.199485032,-0.56170288,15.6,-1.405044203
-1.021898036,-1.221576172,14,-1.405044203
-0.423326767,-0.56170288,15.6,0.14493602
-0.501946839,0.758043705,15.6,0.14493602
-0.491751717,-0.56170288,15.6,-0.630054091
-0.956629652,-1.221576172,14,-1.405044203
-0.452539711,-0.56170288,14,0.14493602
-0.638796739,-1.221576172,14,-1.405044203
-0.523317382,0.758043705,14,0.14493602
-0.699575348,-1.221576172,14,-1.405044203
-0.590271882,-0.56170288,14,0.14493602
-0.58017479,-0.56170288,15.6,-1.405044203
-0.207660735,-0.56170288,15.6,-1.017549147
0.183459417,0.758043705,15.6,1.694916243
-0.109630721,-0.56170288,15.6,-1.017549147
-0.727749174,-1.551512818,11.6,-1.356607321
-0.687145142,-1.221576172,15.6,-1.405044203
0.733427404,-0.56170288,13.3,-0.630054091
-0.851894385,-0.56170288,14.9,-0.630054091
0.576579381,-0.56170288,13.3,0.14493602
-0.924044475,-1.221576172,15.6,-1.405044203
-1.031112857,-1.221576172,15.6,-1.405044203
-0.246872741,0.758043705,15.6,0.14493602
-0.501750779,-0.56170288,14,-0.630054091
-0.916829466,-0.56170288,15.6,-0.630054091
-0.384114761,-0.56170288,15.6,-1.405044203
0.210809791,-0.56170288,15.6,-1.017549147
0.988481896,0.758043705,15.6,-0.630054091
-0.031206709,0.758043705,15.6,-0.630054091
0.302095341,0.758043705,14,0.14493602
-0.411386711,-0.56170288,14,0.14493602
-0.717240357,-1.221576172,15.6,-1.405044203
-0.638796739,-0.56170288,15.6,-0.630054091
0.77263941,-0.56170288,13.3,0.14493602
0.439337361,0.758043705,15.6,0.14493602
-0.470381174,-0.56170288,15.6,-1.405044203
-0.805643824,-1.221576172,14,-1.405044203
-0.275026961,0.758043705,15.6,0.14493602
-0.070418715,-0.56170288,15.6,-1.017549147
-0.403720764,-0.56170288,14,0.14493602
-0.30569075,-0.56170288,15.6,-0.630054091
-0.893870837,-1.221576172,14,-1.017549147
-0.357646657,-0.56170288,15.6,0.14493602
-0.638992799,0.758043705,15.6,0.14493602
-0.695654147,-0.56170288,15.6,0.14493602
-0.795840822,-1.221576172,15.6,-1.405044203
-0.756628817,-0.56170288,15.6,-0.630054091
-0.472145714,-0.56170288,15.6,0.14493602
-0.501750779,-0.56170288,14,-1.405044203
-0.129236723,0.758043705,15.6,0.14493602
-0.799565963,-0.56170288,14,0.14493602
-0.325120299,-0.56170288,15.6,0.14493602
-0.895831437,-1.221576172,14,-0.630054091
-0.866245979,-0.56170288,15.6,-0.630054091
-0.015541513,-0.56170288,15.6,-0.630054091
-0.935043443,-0.56170288,15.6,-0.630054091
-0.207484281,-0.56170288,15.6,0.14493602
-0.718377505,-0.56170288,15.6,0.14493602
-0.246872741,-0.56170288,15.6,0.14493602
